"cboocupacao2002";"nome_cbo_ocupacao";"mediana_vinculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"cbo";"codigo_cbo"
"123605";"Diretor de tecnologia da informação";"35,0";"22837,203093140743";"48";"12982,988610084927";"79,94526454891312";"25";"22764,382306936030";"138,68652627065725";"-4,31498307514530e-01";"0,37142857142857144";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123705";"Diretor de pesquisa e desenvolvimento (p&d)";"22,5";"25745,218456847171";"22";"23180,672551523876";"139,21921634311565";"23";"28349,678454339806";"167,26389008111684";"-9,96125128874652e-02";"-0,02222222222222225";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"123805";"Diretor de manutenção";"17,0";"14061,959867337024";"17";"13757,808922363773";"82,68912737824724";"14";"15238,249958540671";"86,58096567352655";"-2,16293424133381e-02";"0,00000000000000000";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"12"
"131105";"Diretor de serviços culturais";"23,0";"26200,050167163106";"23";"29931,936968956481";"214,77685094069599";"21";"25635,595710810318";"203,21885235984809";"1,42438154812032e-01";"0,00000000000000000";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131110";"Diretor de serviços sociais";"8,5";"12444,899147733517";"9";"10827,326923944771";"91,03015641678036";"8";"13618,878386685534";"79,76411721072368";"-1,29978733020375e-01";"0,05882352941176472";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131115";"Gerente de serviços culturais";"123,0";"8682,811111219708";"89";"9168,559407819881";"56,82223897555860";"175";"10563,406335333297";"60,80825631516986";"5,59436673651119e-02";"-0,27642276422764223";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131120";"Gerente de serviços sociais";"114,5";"19897,863521450370";"138";"17707,745353758572";"109,96899175402399";"61";"13173,532895556198";"82,70102298035346";"-1,10068006312879e-01";"0,20524017467248901";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131205";"Diretor de serviços de saúde";"26,5";"23576,902195916286";"30";"26732,706014757510";"158,96520052576386";"20";"17070,777044556766";"108,89840812693052";"1,33851504010897e-01";"0,13207547169811318";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131210";"Gerente de serviços de saúde";"182,0";"11434,085768155117";"428";"11302,798178492583";"87,77537564070106";"112";"11692,081140897159";"71,44096680242241";"-1,14821239165601e-02";"1,35164835164835173";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
"131305";"Diretor de instituição educacional da área privada";"260,0";"13557,840112280799";"317";"11592,503765901103";"69,79526533569918";"198";"14045,286128504235";"85,07705987894676";"-1,44959398407382e-01";"0,21923076923076934";"DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS";"13"
