"tipo_emprego";"ano";"tipo";"filtro";"salario_hora";"salario_mes";"geral"
"Celetista";"2017";"Médio completo";"Não Técnico";"15,01346124338561";"2495,547419896030";"Subgrupo"
"Celetista";"2017";"Superior completo";"Não Técnico";"72,34747061685786";"10321,445797116463";"Subgrupo"
"Celetista";"2018";"Até fundamental completo";"Não Técnico";"12,80638988194710";"2180,471871710854";"Subgrupo"
"Celetista";"2018";"Médio completo";"Não Técnico";"14,51457545492140";"2414,340825630232";"Subgrupo"
"Celetista";"2018";"Superior completo";"Não Técnico";"68,09982799215332";"9864,874818827260";"Subgrupo"
"Celetista";"2019";"Até fundamental completo";"Não Técnico";"12,76316286946306";"2156,031585766990";"Subgrupo"
"Celetista";"2019";"Médio completo";"Não Técnico";"15,41798742674328";"2527,324887442267";"Subgrupo"
"Celetista";"2019";"Superior completo";"Não Técnico";"65,13685081087671";"9175,197729229016";"Subgrupo"
"Celetista";"2020";"Até fundamental completo";"Não Técnico";"13,04570813950461";"2184,518897964997";"Subgrupo"
"Celetista";"2020";"Médio completo";"Não Técnico";"14,68323251552493";"2406,738059473162";"Subgrupo"
"Celetista";"2020";"Superior completo";"Não Técnico";"66,76491669908621";"9337,643553272659";"Subgrupo"
"Celetista";"2021";"Até fundamental completo";"Não Técnico";"13,09307280457839";"2201,239589021590";"Subgrupo"
"Celetista";"2021";"Médio completo";"Não Técnico";"14,42385786724939";"2385,012880276855";"Subgrupo"
"Celetista";"2021";"Superior completo";"Não Técnico";"72,95344859840284";"9922,319658456348";"Subgrupo"
"Estatutário";"2012";"Até fundamental completo";"Não Técnico";"56,49584700410752";"8910,115614745269";"Subgrupo"
"Estatutário";"2012";"Médio completo";"Não Técnico";"61,50485492309627";"9710,865604155561";"Subgrupo"
"Estatutário";"2012";"Superior completo";"Não Técnico";"127,96286882161284";"19806,356451848467";"Subgrupo"
"Estatutário";"2013";"Até fundamental completo";"Não Técnico";"55,56494951100937";"8767,111326017055";"Subgrupo"
"Estatutário";"2013";"Médio completo";"Não Técnico";"62,58202770172559";"9848,171464724586";"Subgrupo"
"Estatutário";"2013";"Superior completo";"Não Técnico";"132,46070932761378";"20361,270407369291";"Subgrupo"
"Estatutário";"2014";"Até fundamental completo";"Não Técnico";"56,92739013008911";"9023,969083415739";"Subgrupo"
"Estatutário";"2014";"Médio completo";"Não Técnico";"57,63868707793623";"8875,046724312173";"Subgrupo"
"Estatutário";"2014";"Superior completo";"Não Técnico";"127,14609112451058";"19562,973664104025";"Subgrupo"
"Estatutário";"2015";"Até fundamental completo";"Não Técnico";"55,34491966201836";"8742,969810846553";"Subgrupo"
"Estatutário";"2015";"Médio completo";"Não Técnico";"59,41924083277071";"9303,019620160921";"Subgrupo"
"Estatutário";"2015";"Superior completo";"Não Técnico";"130,08525257615656";"20007,695765120301";"Subgrupo"
"Estatutário";"2016";"Até fundamental completo";"Não Técnico";"52,62840207058380";"8325,057968789399";"Subgrupo"
"Estatutário";"2016";"Médio completo";"Não Técnico";"53,42826461649788";"8383,994331941012";"Subgrupo"
"Estatutário";"2016";"Superior completo";"Não Técnico";"121,81656749793638";"18798,751347178408";"Subgrupo"
"Estatutário";"2017";"Até fundamental completo";"Não Técnico";"51,30285871098629";"8124,111766532907";"Subgrupo"
"Estatutário";"2017";"Médio completo";"Não Técnico";"50,76861821766190";"7928,770366660451";"Subgrupo"
"Estatutário";"2017";"Superior completo";"Não Técnico";"124,19144894473884";"19100,924917047818";"Subgrupo"
"Estatutário";"2018";"Até fundamental completo";"Não Técnico";"50,44518163030534";"7972,140810567406";"Subgrupo"
"Estatutário";"2018";"Médio completo";"Não Técnico";"48,24850034984431";"7536,715603398085";"Subgrupo"
"Estatutário";"2018";"Superior completo";"Não Técnico";"112,46241668846459";"17182,763690991680";"Subgrupo"
"Estatutário";"2019";"Até fundamental completo";"Não Técnico";"49,28751714529960";"7788,582465389271";"Subgrupo"
"Estatutário";"2019";"Médio completo";"Não Técnico";"48,28757273140396";"7561,144218610935";"Subgrupo"
"Estatutário";"2019";"Superior completo";"Não Técnico";"125,13731144572087";"19295,227142869564";"Subgrupo"
"Estatutário";"2020";"Até fundamental completo";"Não Técnico";"47,82814926414905";"7569,436216450254";"Subgrupo"
"Estatutário";"2020";"Médio completo";"Não Técnico";"46,18800025934522";"7265,104257993643";"Subgrupo"
"Estatutário";"2020";"Superior completo";"Não Técnico";"106,73686459099856";"16182,014157306949";"Subgrupo"
"Estatutário";"2021";"Até fundamental completo";"Não Técnico";"47,19731082656624";"7484,465000750972";"Subgrupo"
"Estatutário";"2021";"Médio completo";"Não Técnico";"43,28495693593501";"6815,094036376590";"Subgrupo"
"Estatutário";"2021";"Superior completo";"Não Técnico";"113,94558996456328";"17540,468513114651";"Subgrupo"
"Outros";"2012";"Até fundamental completo";"Não Técnico";"8,28181238495066";"1099,119436302898";"Subgrupo"
"Outros";"2012";"Médio completo";"Não Técnico";"12,59892149063223";"1891,783076175142";"Subgrupo"
"Outros";"2012";"Superior completo";"Não Técnico";"106,43448746703298";"14933,757242985032";"Subgrupo"
"Outros";"2013";"Até fundamental completo";"Não Técnico";"8,47853945807655";"1101,776784527921";"Subgrupo"
"Outros";"2013";"Médio completo";"Não Técnico";"13,10714506185428";"1898,065487035801";"Subgrupo"
"Outros";"2013";"Superior completo";"Não Técnico";"119,26017119024478";"15040,109611009480";"Subgrupo"
"Outros";"2014";"Até fundamental completo";"Não Técnico";"9,14257875839815";"1110,603388263833";"Subgrupo"
"Outros";"2014";"Médio completo";"Não Técnico";"12,63605910715464";"1827,156135281481";"Subgrupo"
"Outros";"2014";"Superior completo";"Não Técnico";"100,21537218698478";"12443,694310502860";"Subgrupo"
"Outros";"2015";"Até fundamental completo";"Não Técnico";"9,38012358443321";"1063,354615299632";"Subgrupo"
"Outros";"2015";"Médio completo";"Não Técnico";"13,06569626290593";"1804,687177328341";"Subgrupo"
"Outros";"2015";"Superior completo";"Não Técnico";"81,21410963809080";"11571,140839007523";"Subgrupo"
"Outros";"2016";"Até fundamental completo";"Não Técnico";"9,60362632970403";"1152,828006366896";"Subgrupo"
"Outros";"2016";"Médio completo";"Não Técnico";"11,99905023875375";"1665,243775612157";"Subgrupo"
"Outros";"2016";"Superior completo";"Não Técnico";"69,54783915175987";"11009,023475609192";"Subgrupo"
"Outros";"2017";"Até fundamental completo";"Não Técnico";"9,30799659745351";"997,642554310245";"Subgrupo"
"Outros";"2017";"Médio completo";"Não Técnico";"10,98670558752747";"1494,129362592588";"Subgrupo"
"Outros";"2017";"Superior completo";"Não Técnico";"60,99615246151372";"9609,407036867200";"Subgrupo"
"Outros";"2018";"Até fundamental completo";"Não Técnico";"9,17353342541976";"1004,406880308145";"Subgrupo"
"Outros";"2018";"Médio completo";"Não Técnico";"10,41448745751307";"1383,383664825496";"Subgrupo"
"Outros";"2018";"Superior completo";"Não Técnico";"64,25688086254010";"10308,638593670932";"Subgrupo"
"Outros";"2019";"Até fundamental completo";"Não Técnico";"10,22543132176660";"1084,061334200060";"Subgrupo"
"Outros";"2019";"Médio completo";"Não Técnico";"9,59416743852414";"1230,487365714344";"Subgrupo"
"Outros";"2019";"Superior completo";"Não Técnico";"43,49200089215810";"6725,449466872132";"Subgrupo"
"Outros";"2020";"Até fundamental completo";"Não Técnico";"8,85802906568453";"1087,524182573416";"Subgrupo"
"Outros";"2020";"Médio completo";"Não Técnico";"9,24612086676782";"1170,140029865634";"Subgrupo"
"Outros";"2020";"Superior completo";"Não Técnico";"47,25604400539055";"6284,355068626985";"Subgrupo"
"Outros";"2021";"Até fundamental completo";"Não Técnico";"8,75896212441248";"1155,825779573184";"Subgrupo"
"Outros";"2021";"Médio completo";"Não Técnico";"9,49858877320097";"1181,746211392957";"Subgrupo"
"Outros";"2021";"Superior completo";"Não Técnico";"64,69301261895316";"8338,300087198410";"Subgrupo"
"Celetista";"2012";"Média dos trabalhadores não técnicos";"Não Técnico";"22,37580269215121";"3518,748218279085";"Geral"
"Celetista";"2013";"Média dos trabalhadores não técnicos";"Não Técnico";"24,86617651034664";"3892,230643046009";"Geral"
"Celetista";"2014";"Média dos trabalhadores não técnicos";"Não Técnico";"25,00162977463561";"3895,065610443747";"Geral"
"Celetista";"2015";"Média dos trabalhadores não técnicos";"Não Técnico";"27,20593049986211";"4226,109633488213";"Geral"
"Celetista";"2016";"Média dos trabalhadores não técnicos";"Não Técnico";"27,82902976387471";"4283,714174733760";"Geral"
"Celetista";"2017";"Média dos trabalhadores não técnicos";"Não Técnico";"26,38026706330903";"4047,142430304758";"Geral"
"Celetista";"2018";"Média dos trabalhadores não técnicos";"Não Técnico";"25,75111682206399";"3977,641330504959";"Geral"
"Celetista";"2019";"Média dos trabalhadores não técnicos";"Não Técnico";"24,87247638267072";"3787,359945379264";"Geral"
"Celetista";"2020";"Média dos trabalhadores não técnicos";"Não Técnico";"25,40551804085989";"3832,569664920251";"Geral"
"Celetista";"2021";"Média dos trabalhadores não técnicos";"Não Técnico";"28,03429667861626";"4134,869272406735";"Geral"
"Estatutário";"2012";"Média dos trabalhadores não técnicos";"Não Técnico";"105,16996736732995";"16339,259312001828";"Geral"
