"cboocupacao2002";"nome_cbo_ocupacao";"mediana_viculos";"mediana_rendimentos";"vinculos_ultimo_ano";"media_rendimento_ultimo_ano";"media_salario_hora_ultimo_ano";"vinculos_primeiro_ano";"media_rendimento_primeiro_ano";"media_salario_hora_primeiro_ano";"variacao_rendimentos";"variacao_vinculos";"codigo_cbo";"cbo";"tipo_emprego"
"""122405""";"Diretor de operações comerciais (comércio atacadista e varejista)";"12,5";"24274,881096121058";"9";"33301.229299176";"192.585074274185";"14";"18581,162146962659";"105,57478492592411";"0.371839028472";"-0.28";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122505""";"Diretor de  produção e operações de alimentação";"19,5";"3860,076465127824";"16";"3381.61294214529";"19.2137098985528";"17";"8540,193638275752";"48,52382749020313";"-0.123951825127041";"-0.17948717948718";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122510""";"Diretor de  produção e operações de hotel";"1,5";"4147,771024303723";"null";"null";"null";"3";"13197,890644290777";"79,98618393658006";"null";"null";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122515""";"Diretor de  produção e operações de turismo";"1,0";"2611,914013527450";"null";"null";"null";"1";"2622,513523362940";"14,90064501910760";"null";"null";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122520""";"Turismólogo";"12,5";"5660,273448417003";"12";"7318.23096710224";"45.1726210915084";"3";"3716,398491004556";"21,11590051707133";"0.292911205402791";"-0.04";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122605""";"Diretor de operações de correios";"11,0";"46645,106798569737";"null";"null";"null";"6";"53729,518955226617";"305,28135770015166";"null";"null";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122610""";"Diretor de operações de serviços de armazenamento";"3,0";"21391,200765818376";"2";"43321.0064409396";"246.142082050793";"2";"21163,675222517799";"120,24815467339674";"1.02517880670652";"-0.333333333333333";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122615""";"Diretor de operações de serviços de telecomunicações";"17,5";"23232,438392698688";"12";"27701.2984869413";"168.422821865075";"26";"15805,162498718166";"94,84541443266480";"0.192354328835629";"-0.314285714285714";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122620""";"Diretor de operações de serviços de transporte";"6,5";"20064,011813178440";"2";"5689.59086845258";"32.3272208434805";"5";"12964,233387886698";"77,55509405107102";"-0.716428054297917";"-0.692307692307692";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
"""122705""";"Diretor comercial em operações de intermediação financeira";"8,5";"23637,644304504676";"7";"31471.6924430855";"224.204076363202";"7";"15860,085140664922";"92,65481827075091";"0.331422540996942";"-0.176470588235294";"""12""";"DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)";"Geral"
