"cbo_familia";"mediana_rendimento_base";"mediana_salario_hora_base";"vinculos_base";"referencia";"mediana_rendimento_recente";"mediana_salario_hora_recente";"vinculos_recente";"nome_cbo_familia";"variacao_rendimento";"variacao_vinculos"
"7661";"2647,89424213180";"15,64935645226636";"245";"2021";"2720,98702757788";"16,21064645732629";"256";"Trabalhadores da pré-impressão gráfica";"0,0276041181264232716";"0,044897959183673564"
"7662";"2036,10259039848";"11,86851054561978";"403";"2021";"2256,62285310444";"13,01138531982596";"393";"Trabalhadores da impressão gráfica";"0,1083050843046204914";"-0,024813895781637729"
"7663";"1842,54670050565";"11,02241761605648";"216";"2021";"1914,94613449001";"10,95314355491178";"291";"Trabalhadores do acabamento gráfico";"0,0392931337721251772";"0,347222222222222321"
"7664";"3429,60287568721";"34,62360470303759";"148";"2021";"3165,60159135406";"32,32652567559450";"142";"Trabalhadores de laboratório fotográfico e radiológico";"-0,0769772168680760149";"-0,040540540540540571"
"7711";"2013,02071108936";"11,43761767664408";"1065";"2021";"1972,11856288888";"11,20521910732320";"1326";"Marceneiros e afins";"-0,0203187915430544930";"0,245070422535211163"
"7741";"1907,52178459402";"11,03178055215359";"864";"2021";"1852,46381878489";"10,82111684543155";"827";"Montadores de móveis e artefatos de madeira";"-0,0288636104991332187";"-0,042824074074074070"
"7821";"2368,16136091190";"13,45546227790854";"116";"2021";"2400,41248796955";"13,63870731800883";"151";"Operadores de máquinas e equipamentos de elevação";"0,0136186357863858909";"0,301724137931034475"
"7822";"2166,72583499550";"12,60989683770283";"1156";"2021";"2107,14292109622";"12,23933827243797";"1327";"Operadores de equipamentos de movimentação de cargas";"-0,0274990554582089652";"0,147923875432526053"
"7823";"2202,08555659172";"12,72462577297715";"9233";"2021";"2077,71399343873";"11,95757322123711";"9366";"Motoristas de veículos de pequeno e médio porte";"-0,0564789877399175522";"0,014404852160727843"
"7824";"4488,49134197182";"33,34532765450868";"5738";"2021";"4291,54073989583";"30,97126059561664";"5949";"Motoristas de ônibus urbanos, metropolitanos e rodoviários";"-0,0438790201585794737";"0,036772394562565314"
"7825";"2409,16680110234";"13,76282373295524";"6941";"2021";"2349,69645985748";"13,39455697053210";"7429";"Motoristas de veículos de cargas em geral";"-0,0246850243900308408";"0,070306872208615534"
"7826";"10044,41225790624";"62,77757661191399";"311";"2021";"13934,86670279062";"87,09291689244138";"290";"Operadores de veículos sobre trilhos e cabos aéreos";"0,3873252456182387782";"-0,067524115755627001"
"7827";"2193,61407750894";"12,46371634948261";"142";"2021";"2039,38770237456";"11,58743012712816";"156";"Trabalhadores aquaviários";"-0,0703069772917954694";"0,098591549295774739"
"7831";"1906,39612230494";"10,83192802179929";"382";"2021";"1790,16642452825";"10,26554196768018";"427";"Trabalhadores de manobras de transportes sobre trilhos";"-0,0609682827282321815";"0,117801047120418945"
"7832";"1573,24650380004";"9,22057990672231";"7191";"2021";"1499,27441913532";"8,93434769637708";"7436";"Trabalhadores de cargas e descargas de mercadorias";"-0,0470187503903797266";"0,034070365734946373"
"7841";"1339,18998103198";"7,64859568495497";"1911";"2021";"1318,75410113289";"7,52894468795821";"1724";"Trabalhadores de embalagem e de etiquetagem";"-0,0152598811136107626";"-0,097854526425955046"
"7842";"1552,97297783069";"8,86106294144458";"3884";"2021";"1541,72710023550";"8,76911918137500";"4282";"Alimentadores de linhas de produção";"-0,0072415153101377250";"0,102471678681771428"
"8118";"2991,41852132165";"17,71124641488900";"310";"2021";"2370,84090662324";"13,89912835137421";"551";"Operadores de máquinas e instalações de produtos farmacêuticos, cosméticos e afins";"-0,2074526216492873498";"0,777419354838709609"
"8131";"2805,69004600599";"16,91461977768062";"120";"2021";"2248,09533259471";"13,44444973796187";"175";"Operadores de processos das indústrias de transformação de produtos químicos, petroquímicos e afins";"-0,1987371036244853784";"0,458333333333333259"
"8181";"3241,07184941472";"19,59183388956569";"347";"2021";"2420,46325645433";"14,04631501726360";"274";"Laboratoristas industriais auxiliares";"-0,2531904971833877083";"-0,210374639769452476"
"8214";"2658,36174094368";"15,10432807354362";"150";"2021";"2333,62414424992";"13,25922809232909";"163";"Operadores de equipamentos de acabamento de chapas e metais";"-0,1221570381834039543";"0,086666666666666670"
"8401";"2295,62577186129";"13,17374999287432";"220";"2021";"2201,22038714098";"12,55712405368014";"273";"Supervisores da fabricação de alimentos, bebidas e fumo";"-0,0411240307011214723";"0,240909090909090962"
"8414";"1646,86713845919";"9,41054201162192";"862";"2021";"1681,35864424487";"9,72431651401512";"857";"Trabalhadores na fabricação e conservação de alimentos";"0,0209437088033386232";"-0,005800464037122977"
